City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,dorado,18.4588,-66.2677,300.35,88,100,0.45,PR,1684120618
299,tartus,34.889,35.8866,291.64,70,1,2.77,SY,1684120618
300,fukue,32.6881,128.8419,295.35,68,75,3.09,JP,1684120618
301,lerwick,60.1545,-1.1494,281.15,85,8,4.48,GB,1684120618
302,lagoa,39.05,-27.9833,289.88,85,100,3.55,PT,1684120618
303,little current,45.9793,-81.9248,281.74,49,0,3.6,CA,1684120618
304,katangli,51.7102,143.2326,292.58,33,50,4.97,RU,1684120618
305,mount isa,-20.7333,139.5,302.02,28,95,3.6,AU,1684120618
306,martinez,38.0194,-122.1341,293.88,82,0,4.92,US,1684120618
307,aykhal,66.0,111.5,272.64,92,100,2.58,RU,1684120618
308,grand-lahou,5.1367,-5.0242,299.37,89,99,4.12,CI,1684120618
309,zyryanka,65.75,150.85,280.16,36,0,7.23,RU,1684120618
310,abu samrah,35.3029,37.1841,290.62,62,0,1.03,SY,1684120618
311,kalmar,56.6616,16.3616,284.8,89,100,3.6,SE,1684120618
312,begowal,31.6167,75.5167,306.59,17,0,1.92,IN,1684120618
313,kaitangata,-46.2817,169.8464,288.67,51,33,0.88,NZ,1684120619
314,moerai,-22.4333,-151.3333,298.27,80,9,4.43,PF,1684120619
315,taltal,-25.4,-70.4833,290.35,88,35,0.81,CL,1684120619
316,san borja,-14.8167,-66.85,293.04,87,0,0.95,BO,1684120619
317,ust-kuyga,70.0167,135.6,274.64,100,37,2.43,RU,1684120619
318,tortoli,39.9256,9.6572,287.05,94,40,4.63,IT,1684120619
319,rundu,-17.9333,19.7667,289.6,36,82,1.99,NA,1684120619
320,carutapera,-1.195,-46.02,297.83,95,45,2.16,BR,1684120619
321,gushikawa,26.3544,127.8686,296.92,69,100,2.57,JP,1684120619
322,gualaquiza,-3.4,-78.55,290.23,98,98,0.62,EC,1684120619
323,ribeira grande,38.5167,-28.7,291.36,90,100,4.47,PT,1684120619
324,arlit,18.7369,7.3853,303.67,26,8,4.35,NE,1684120417
325,kristiinankaupunki,62.2743,21.376,280.83,72,11,4.56,FI,1684120620
326,torbay,47.6666,-52.7314,277.75,86,75,9.26,CA,1684120620
327,sarangani,5.4033,125.4636,302.48,70,51,4.15,PH,1684120620
328,te anau,-45.4167,167.7167,283.76,77,24,0.45,NZ,1684120620
329,banjar,-8.19,114.9675,302.76,52,6,0.95,ID,1684120620
330,havelock,34.8791,-76.9013,293.12,70,0,4.12,US,1684120620
331,chimoio,-19.1164,33.4833,291.07,88,20,1.19,MZ,1684120620
332,kisangani,0.5167,25.2,295.71,84,74,0.99,CD,1684120620
333,rudbar,30.15,62.6,305.24,17,13,4.43,AF,1684120620
334,zonguldak,41.25,31.8333,276.62,84,58,1.96,TR,1684120620
335,kenai,60.5544,-151.2583,286.2,57,100,4.63,US,1684120620
336,merauke,-8.4667,140.3333,300.45,85,100,1.43,ID,1684120620
337,barcelona,41.3888,2.159,289.36,78,0,3.09,ES,1684120332
338,semey,50.4111,80.2275,281.27,57,0,5.0,KZ,1684120621
339,mirzapur,25.15,82.5833,304.13,12,20,4.27,IN,1684120621
340,caconde,-21.5294,-46.6439,283.77,78,0,0.94,BR,1684120621
341,kralendijk,12.15,-68.2667,300.14,83,75,6.17,BQ,1684120621
342,road town,18.4167,-64.6167,300.8,71,100,5.84,VG,1684120621
343,sioux lookout,50.1001,-91.917,287.19,44,75,2.06,CA,1684120621
344,klyuchi,52.2667,79.1667,284.79,29,2,3.57,RU,1684120621
345,lumeje,-11.55,20.7833,289.16,60,9,1.58,AO,1684120621
346,mayor pablo lagerenza,-19.9309,-60.7718,292.8,64,0,1.71,PY,1684120621
347,pacific grove,36.6177,-121.9166,288.16,86,40,3.6,US,1684120622
348,inirida,3.8653,-67.9239,296.7,97,98,0.61,CO,1684120622
349,rafaela,-31.2503,-61.4867,290.92,52,2,3.16,AR,1684120623
350,lavrentiya,65.5833,-171.0,270.97,74,89,4.32,RU,1684120623
351,betare oya,5.6,14.0833,293.76,94,43,0.34,CM,1684120623
352,songkhla,6.8333,100.6667,306.18,52,44,2.04,TH,1684120623
353,uitenhage,-33.7576,25.3971,287.39,85,65,1.05,ZA,1684120623
354,hay river,60.8156,-115.7999,291.13,27,100,4.12,CA,1684120439
355,stornoway,58.2093,-6.3865,279.28,89,75,2.57,GB,1684120623
356,never,46.9896,3.159,282.01,97,86,1.76,FR,1684120624
357,vardo,70.3705,31.1107,281.14,76,75,4.12,NO,1684120624
358,port lincoln,-34.7333,135.8667,292.95,41,0,1.6,AU,1684120625
359,tongliao,43.6125,122.2653,295.76,22,96,5.1,CN,1684120625
360,nakamura,32.9833,132.9333,295.67,65,3,1.11,JP,1684120625
361,pevek,69.7008,170.3133,265.08,78,82,2.22,RU,1684120626
362,ponta do sol,32.6667,-17.1,292.5,67,21,3.44,PT,1684120627
363,tuapse,44.1125,39.0742,284.58,69,71,2.03,RU,1684120627
364,ouricuri,-7.8825,-40.0817,294.89,97,100,1.62,BR,1684120627
365,lokosovo,61.1333,74.8167,276.86,48,100,5.03,RU,1684120627
366,dudinka,69.4058,86.1778,265.72,93,100,8.47,RU,1684120627
367,hazorasp,41.3194,61.0742,293.06,24,100,6.26,UZ,1684120628
368,upington,-28.4478,21.2561,281.36,81,0,2.06,ZA,1684120628
369,gat,31.61,34.7642,293.93,83,100,2.8,IL,1684120628
370,gondanglegi,-7.7479,112.0132,300.9,64,28,5.73,ID,1684120628
371,soe,-9.8607,124.284,298.24,50,33,2.07,ID,1684120628
372,stromness,58.965,-3.296,280.86,81,67,3.13,GB,1684120628
373,nagua,19.3832,-69.8474,297.58,86,82,2.35,DO,1684120629
374,piacabucu,-10.4056,-36.4344,298.11,84,24,2.92,BR,1684120629
375,auce,56.4598,22.9017,282.24,64,15,2.72,LV,1684120629
376,chuguyevka,44.1653,133.8633,293.41,40,55,4.18,RU,1684120629
377,alofi,-19.0595,-169.9187,298.09,83,87,7.2,NU,1684120629
378,moyale,3.5167,39.0584,292.87,76,98,3.67,KE,1684120629
379,sambava,-14.2667,50.1667,295.43,89,60,2.43,MG,1684120630
380,kunming,25.0389,102.7183,286.11,94,100,2.0,CN,1684120630
381,praia da vitoria,38.7333,-27.0667,290.29,88,20,3.7,PT,1684120630
382,kem,64.9555,34.5793,283.82,74,34,2.81,RU,1684120630
383,aitape,-3.1374,142.3475,299.47,91,100,2.41,PG,1684120631
384,butembo,0.15,29.2833,288.18,83,5,1.47,CD,1684120631
385,nizhniy tsasuchey,50.5167,115.1333,280.6,13,0,10.73,RU,1684120631
386,abis,9.7173,122.9438,305.02,60,42,2.39,PH,1684120631
387,gazojak,41.1875,61.4036,300.81,23,99,7.5,TM,1684120631
388,acapulco,16.8634,-99.8901,302.05,70,75,1.03,MX,1684120355
389,saint-francois,46.4154,3.9054,283.84,93,100,1.54,FR,1684120631
390,da nang,16.0678,108.2208,304.14,66,40,1.54,VN,1684120632
391,takoradi,4.8845,-1.7554,299.69,89,100,3.8,GH,1684120632
392,nelson bay,-32.7167,152.15,294.87,83,15,2.68,AU,1684120632
393,tahe,52.3333,124.7333,283.07,30,96,5.64,CN,1684120632
394,san policarpo,12.1791,125.5072,302.36,72,81,2.48,PH,1684120632
395,tuy hoa,13.0833,109.3,304.68,62,87,1.01,VN,1684120633
396,tateyama,34.9833,139.8667,291.11,82,100,3.57,JP,1684120438
397,lappeenranta,61.0587,28.1887,282.18,87,0,1.54,FI,1684120633
398,yuzhnouralsk,54.4418,61.2536,285.04,58,15,3.64,RU,1684120633
399,srednekolymsk,67.45,153.6833,278.92,37,46,1.05,RU,1684120633
400,kimry,56.8667,37.35,281.13,78,2,0.73,RU,1684120633
401,cessnock,-32.8333,151.35,293.7,53,39,1.33,AU,1684120633
402,rio grande,-32.035,-52.0986,289.77,90,85,3.81,BR,1684120513
403,smithers,54.7804,-127.1743,299.33,29,0,5.14,CA,1684120555
404,belaya gora,68.5333,146.4167,274.71,68,52,2.53,RU,1684120634
405,san patricio,28.017,-97.5169,299.18,84,70,3.49,US,1684120635
406,kuala terengganu,5.3302,103.1408,305.32,67,20,1.54,MY,1684120635
407,santos reyes nopala,16.1092,-97.1561,293.8,84,81,0.48,MX,1684120635
408,tiznit,29.5833,-9.5,288.86,53,0,1.01,MA,1684120635
409,ukiah,39.1502,-123.2078,296.44,64,0,6.17,US,1684120635
410,virden,39.5009,-89.7679,289.99,90,100,6.14,US,1684120636
411,eureka,40.8021,-124.1637,288.49,85,7,3.13,US,1684120513
412,auki,-8.7676,160.7034,301.31,81,54,1.36,SB,1684120637
413,srbac,45.0978,17.525,286.22,97,100,0.84,BA,1684120637
414,turayf,31.6725,38.6637,290.29,48,0,6.17,SA,1684120637
415,port blair,11.6667,92.75,303.37,71,100,7.51,IN,1684120638
416,misratah,32.3754,15.0925,297.01,54,100,7.63,LY,1684120638
417,suntar,62.1444,117.6319,279.19,37,100,2.72,RU,1684120638
418,rio pomba,-21.2747,-43.1792,288.33,97,0,0.86,BR,1684120638
419,pascagoula,30.3658,-88.5561,298.17,95,0,0.0,US,1684120638
420,innisfail,-17.5333,146.0333,298.81,84,100,3.12,AU,1684120611
421,mountain home,43.133,-115.6912,290.61,55,20,6.69,US,1684120588
422,miyazu,35.5333,135.1833,296.26,75,72,1.43,JP,1684120639
423,mudon,16.2578,97.7164,301.75,77,100,5.67,MM,1684120639
424,la ronge,55.1001,-105.2842,294.29,28,100,2.57,CA,1684120639
425,padang,-0.9492,100.3543,303.18,72,11,1.48,ID,1684120639
426,kyzyl-suu,42.3414,78.0056,287.36,51,0,1.7,KG,1684120639
427,lazaro cardenas,17.9583,-102.2,299.1,65,0,2.14,MX,1684120639
428,beryslav,46.8415,33.4284,286.03,62,53,2.8,UA,1684120640
429,mega,4.05,38.3,287.07,86,6,3.84,ET,1684120640
430,fortuna,40.5982,-124.1573,289.22,89,0,4.12,US,1684120640
431,fulnek,49.7124,17.9032,285.05,100,100,1.54,CZ,1684120640
432,leninskoye,41.7589,69.3864,297.58,36,91,1.09,KZ,1684120640
433,bowen,-20.0167,148.2333,298.94,68,19,4.55,AU,1684120641
434,rio gallegos,-51.6226,-69.2181,282.18,81,0,4.12,AR,1684120641
435,foeni,47.7,22.3833,290.34,76,100,4.66,RO,1684120641
436,dicabisagan,17.0818,122.4157,302.97,73,98,2.51,PH,1684120641
437,rehoboth,-23.3167,17.0833,285.83,49,7,3.31,NA,1684120641
438,kholodnyy,62.7167,147.95,272.99,52,82,1.26,RU,1684120641
439,gejiu,23.306,103.1635,290.52,66,98,3.32,CN,1684120642
440,labuhan,-6.8844,112.2051,300.74,71,22,2.19,ID,1684120642
441,hobyo,5.3505,48.5268,299.94,83,89,8.99,SO,1684120642
442,rocha,-34.4833,-54.3333,289.4,64,77,3.86,UY,1684120642
443,obo,5.3998,26.4869,294.99,65,96,1.75,CF,1684120642
444,khasan,42.4308,130.6434,286.14,83,95,4.32,RU,1684120642
445,sao joao da barra,-21.6403,-41.0511,294.86,82,67,2.3,BR,1684120643
446,vilhena,-12.7406,-60.1458,293.75,79,94,1.24,BR,1684120643
447,dabat,12.9842,37.765,290.56,37,63,0.76,ET,1684120643
448,sinop,41.7711,34.8709,280.48,59,95,3.34,TR,1684120643
449,maldonado,-34.6667,-54.9167,292.16,67,79,4.41,UY,1684120643
450,buala,-8.145,159.5921,302.05,78,82,1.04,SB,1684120644
451,termiz,37.2242,67.2783,298.2,38,0,2.06,UZ,1684120644
452,asau,46.4333,26.4,281.66,78,100,0.6,RO,1684120644
453,vila velha,-20.3297,-40.2925,294.23,95,40,1.54,BR,1684120644
454,bubaque,11.2833,-15.8333,299.32,73,100,6.46,GW,1684120644
455,belmonte,-15.8631,-38.8828,296.8,87,88,2.18,BR,1684120644
456,iroquois falls,48.7669,-80.6831,282.32,57,95,2.74,CA,1684120644
457,narsaq,60.9167,-46.05,274.27,83,12,2.71,GL,1684120645
458,balaipungut,1.05,101.2833,305.2,61,18,1.41,ID,1684120645
459,kupang,-10.1667,123.5833,303.47,51,40,3.09,ID,1684120645
460,pocone,-16.2567,-56.6228,293.07,62,84,1.38,BR,1684120645
461,russell,32.3502,-85.1999,298.93,94,0,0.0,US,1684120646
462,manzhouli,49.6,117.4333,279.78,16,0,12.4,CN,1684120646
463,gilbues,-9.8317,-45.3439,294.83,94,40,1.25,BR,1684120648
464,celestun,20.8667,-90.4,298.21,82,100,6.37,MX,1684120648
465,yulara,-25.2406,130.9889,295.36,39,1,4.54,AU,1684120648
466,nouadhibou,20.931,-17.0347,292.14,88,41,5.14,MR,1684120650
467,lishui,28.4604,119.9103,302.81,41,93,1.17,CN,1684120650
468,san ramon,37.7799,-121.978,293.89,79,0,4.63,US,1684120574
469,verkhnyaya inta,65.9811,60.3094,274.79,81,100,7.84,RU,1684120650
470,muscat,23.6139,58.5922,310.16,46,0,4.49,OM,1684120650
471,krasnokamensk,50.0979,118.0369,280.1,15,4,12.13,RU,1684120651
